gene_name gene_id tx_id chr start end strand distance lonely
RUNX1 ENSG00000159216 ENST00000675419 chr21 34787801 35049302 - 274659 Yes
AEBP2 ENSG00000139154 ENST00000266508 chr12 19439492 19522227 + 274376 Yes
AIMP1 ENSG00000164022 ENST00000672341 chr4 106316550 106349456 + 273945 Yes
GOLIM4 ENSG00000173905 ENST00000470487 chr3 168008689 168095924 - 273446 Yes
WASHC2C ENSG00000172661 ENST00000623400 chr10 45727266 45792964 + 272615 Yes
GEMIN8 ENSG00000046647 ENST00000680255 chrX 14006726 14029892 - 271983 Yes
TTC27 ENSG00000018699 ENST00000317907 chr2 32628050 32821051 + 271009 Yes
AHCYL2 ENSG00000158467 ENST00000325006 chr7 129225030 129430211 + 270850 Yes
DNAJC25 ENSG00000059769 ENST00000313525 chr9 111631334 111654345 + 270649 Yes
TICRR ENSG00000140534 ENST00000268138 chr15 89575469 89628023 + 270271 Yes
DMD ENSG00000198947 ENST00000357033 chrX 31119222 33211549 - 270235 Yes
DENND1A ENSG00000119522 ENST00000394215 chr9 123379658 123930126 - 270154 Yes
PRPF18 ENSG00000165630 ENST00000378572 chr10 13586965 13630859 + 269511 Yes
PUS3 ENSG00000110060 ENST00000227474 chr11 125893485 125903206 - 268322 Yes
YWHAH ENSG00000128245 ENST00000248975 chr22 31944535 31957603 + 268266 Yes
PSMD12 ENSG00000197170 ENST00000356126 chr17 67337916 67366577 - 267472 Yes
ZBED1 ENSG00000214717 ENST00000652001 chrX 2486435 2500976 - 266908 Yes
ELMOD2 ENSG00000179387 ENST00000323570 chr4 140524168 140553770 + 266882 Yes
HMGN3 ENSG00000118418 ENST00000344726 chr6 79201245 79234682 - 266826 Yes
CHCHD6 ENSG00000159685 ENST00000290913 chr3 126704240 126960420 + 266639 Yes
DAB2 ENSG00000153071 ENST00000320816 chr5 39371677 39424980 - 266423 Yes
KDM4A ENSG00000066135 ENST00000372396 chr1 43650149 43705518 + 266232 Yes
CCDC186 ENSG00000165813 ENST00000369287 chr10 114120862 114174203 - 266201 Yes
RRAGB ENSG00000083750 ENST00000374941 chrX 55717749 55758774 + 265622 Yes
PEX7 ENSG00000112357 ENST00000318471 chr6 136822592 136913934 + 265518 Yes
TBCA ENSG00000171530 ENST00000380377 chr5 77691166 77776339 - 265196 Yes
E2F6 ENSG00000169016 ENST00000381525 chr2 11444375 11466161 - 264616 Yes
PEF1 ENSG00000162517 ENST00000373703 chr1 31629866 31644876 - 264613 Yes
MTPN ENSG00000105887 ENST00000393085 chr7 135926760 135977359 - 264264 Yes
NBPF8 ENSG00000270231 ENST00000698216 chr1 120415035 120469676 + 264137 Yes
COQ7 ENSG00000167186 ENST00000321998 chr16 19067614 19080095 + 262754 Yes
RNF138 ENSG00000134758 ENST00000261593 chr18 32091874 32131561 + 262677 Yes
ATRN ENSG00000088812 ENST00000262919 chr20 3471018 3651118 + 262150 Yes
DDHD1 ENSG00000100523 ENST00000673822 chr14 53036755 53153323 - 261552 Yes
ZNF706 ENSG00000120963 ENST00000311212 chr8 101197052 101205673 - 261355 Yes
CNOT6 ENSG00000113300 ENST00000261951 chr5 180494379 180578358 + 261236 Yes
TTC8 ENSG00000165533 ENST00000380656 chr14 88824651 88877988 + 261183 Yes
RFX7 ENSG00000181827 ENST00000559447 chr15 56087280 56243879 - 260358 Yes
SPECC1L ENSG00000100014 ENST00000314328 chr22 24270831 24417738 + 259625 Yes
ZNF664 ENSG00000179195 ENST00000337815 chr12 123973215 124015427 + 259492 Yes
NOMO1 ENSG00000274779 ENST00000620839 chrCHR_HSCHR16_1_CTG1 15317898 15380204 - 259399 Yes
QTRT2 ENSG00000151576 ENST00000281273 chr3 114056737 114088422 + 259063 Yes
PARP14 ENSG00000173193 ENST00000474629 chr3 122680839 122730840 + 258937 Yes
MFHAS1 ENSG00000285022 ENST00000644336 chrCHR_HG76_PATCH 11063643 11170702 + 258858 Yes
M6PR ENSG00000003056 ENST00000000412 chr12 8940361 8949645 - 258761 Yes
EPC1 ENSG00000120616 ENST00000319778 chr10 32267751 32347158 - 258736 Yes
DCP1B ENSG00000151065 ENST00000280665 chr12 1946053 2004457 - 257479 Yes
ZNF354B ENSG00000178338 ENST00000322434 chr5 178859953 178885020 + 257289 Yes
E2F7 ENSG00000165891 ENST00000322886 chr12 77021251 77065569 - 257145 Yes
SREK1 ENSG00000153914 ENST00000334121 chr5 66144300 66183615 + 256843 Yes
MAN1A2 ENSG00000198162 ENST00000356554 chr1 117367449 117528872 + 256389 Yes
ZNF395 ENSG00000186918 ENST00000344423 chr8 28345590 28386460 - 255917 Yes
METAP2 ENSG00000111142 ENST00000323666 chr12 95474152 95515839 + 255774 Yes
FXN ENSG00000165060 ENST00000484259 chr9 69035752 69079076 + 255686 Yes
LENG8 ENSG00000276681 ENST00000617180 chrCHR_HSCHR19_4_CTG3_1 54457147 54469943 + 255455 Yes
SAP30L ENSG00000164576 ENST00000297109 chr5 154445997 154461053 + 255267 Yes
AP3S2 ENSG00000157823 ENST00000336418 chr15 89830599 89893994 - 255130 Yes
UBL3 ENSG00000122042 ENST00000380680 chr13 29764371 29850617 - 254957 Yes
GPBP1 ENSG00000062194 ENST00000506184 chr5 57174059 57264673 + 254346 Yes
EPB41L5 ENSG00000115109 ENST00000263713 chr2 120013077 120179119 + 253155 Yes
UVRAG ENSG00000198382 ENST00000356136 chr11 75815210 76144232 + 253154 Yes
FLNB ENSG00000136068 ENST00000295956 chr3 58008422 58172251 + 252948 Yes
MMS22L ENSG00000146263 ENST00000683635 chr6 97142161 97283216 - 252846 Yes
MICAL2 ENSG00000133816 ENST00000683283 chr11 12110590 12263785 + 252585 Yes
CST3 ENSG00000101439 ENST00000376925 chr20 23633657 23637955 - 252187 Yes
FANCL ENSG00000115392 ENST00000233741 chr2 58159247 58241325 - 251614 Yes
TRAP1 ENSG00000126602 ENST00000246957 chr16 3658037 3717524 - 250424 Yes
NFKB1 ENSG00000109320 ENST00000226574 chr4 102501359 102617302 + 250250 Yes
CCDC174 ENSG00000154781 ENST00000383794 chr3 14651762 14672655 + 249186 Yes
AKAP9 ENSG00000127914 ENST00000356239 chr7 91940862 92110673 + 248832 Yes
MAD1L1 ENSG00000002822 ENST00000265854 chr7 1815795 2232945 - 248461 Yes
LENG8 ENSG00000167615 ENST00000326764 chr19 54449199 54462016 + 248078 Yes
DDX3X ENSG00000215301 ENST00000644876 chrX 41334162 41350274 + 247903 Yes
NSMCE4A ENSG00000107672 ENST00000369023 chr10 121957091 121975217 - 247698 Yes
LONRF3 ENSG00000175556 ENST00000371628 chrX 118974618 119018355 + 247481 Yes
ALDH1A2 ENSG00000128918 ENST00000249750 chr15 57953429 58065711 - 246729 Yes
MTR ENSG00000116984 ENST00000366577 chr1 236795292 236903981 + 246255 Yes
ZNF215 ENSG00000149054 ENST00000278319 chr11 6926426 6958047 + 246019 Yes
UBE2J1 ENSG00000198833 ENST00000435041 chr6 89326625 89352722 - 245874 Yes
CNDP2 ENSG00000133313 ENST00000324262 chr18 74496363 74523454 + 244970 Yes
PDLIM5 ENSG00000163110 ENST00000317968 chr4 94451942 94668223 + 244246 Yes
TCERG1 ENSG00000113649 ENST00000679501 chr5 146447333 146511961 + 243706 Yes
COMMD10 ENSG00000145781 ENST00000274458 chr5 116085025 116293287 + 243424 Yes
KRBA1 ENSG00000133619 ENST00000496259 chr7 149714951 149734575 + 242085 Yes
RYK ENSG00000163785 ENST00000623711 chr3 134157133 134250859 - 241068 Yes
CDCA4 ENSG00000170779 ENST00000336219 chr14 105009573 105021083 - 240224 Yes
RRM1 ENSG00000167325 ENST00000300738 chr11 4094799 4138932 + 240180 Yes
ZNF711 ENSG00000147180 ENST00000674551 chrX 85243991 85273357 + 240114 Yes
CCNB2 ENSG00000157456 ENST00000288207 chr15 59105146 59125045 + 239951 Yes
STK32C ENSG00000165752 ENST00000298630 chr10 132207492 132307950 - 239808 Yes
PPP1R2 ENSG00000184203 ENST00000618156 chr3 195514428 195543325 - 239683 Yes
TCAF2 ENSG00000170379 ENST00000684770 chr7 143620974 143730410 + 239657 Yes
CHST11 ENSG00000171310 ENST00000303694 chr12 104456948 104762014 + 239516 Yes
TENT2 ENSG00000164329 ENST00000453514 chr5 79612441 79688246 + 239484 Yes
MAP7D3 ENSG00000129680 ENST00000316077 chrX 136216814 136251400 - 239379 Yes
DPH6 ENSG00000134146 ENST00000256538 chr15 35370880 35546165 - 239004 Yes
LCOR ENSG00000196233 ENST00000421806 chr10 96832298 96995956 + 238939 Yes
TENT5C ENSG00000183508 ENST00000369448 chr1 117606048 117628389 + 238599 Yes
NAB1 ENSG00000138386 ENST00000337386 chr2 190649083 190692766 + 238391 Yes
B3GNT5 ENSG00000176597 ENST00000326505 chr3 183253253 183273385 + 238035 Yes
ZNF136 ENSG00000196646 ENST00000343979 chr19 12163096 12189871 + 237996 Yes
C12orf43 ENSG00000157895 ENST00000288757 chr12 121000486 121016487 - 237976 Yes
SGMS1 ENSG00000198964 ENST00000361781 chr10 50305600 50623956 - 237698 Yes
PPARGC1B ENSG00000155846 ENST00000309241 chr5 149730310 149855022 + 237316 Yes
FAHD2A ENSG00000115042 ENST00000233379 chr2 95402708 95416616 + 237276 Yes
UBA5 ENSG00000081307 ENST00000356232 chr3 132660329 132679794 + 236944 Yes
ZFAND5 ENSG00000107372 ENST00000376962 chr9 72351413 72365208 - 236818 Yes
MELK ENSG00000165304 ENST00000298048 chr9 36572895 36677682 + 236466 Yes
ARHGEF7 ENSG00000102606 ENST00000646102 chr13 111115310 111305732 + 236019 Yes
SNRPE ENSG00000182004 ENST00000414487 chr1 203861599 203871152 + 234767 Yes
GTF3C1 ENSG00000077235 ENST00000356183 chr16 27460613 27549913 - 234561 Yes
COPS9 ENSG00000172428 ENST00000607357 chr2 240130828 240136305 - 234113 Yes
N4BP2 ENSG00000078177 ENST00000261435 chr4 40056850 40158252 + 233934 Yes
CYP2R1 ENSG00000186104 ENST00000334636 chr11 14877440 14892231 - 233636 Yes
LPIN1 ENSG00000134324 ENST00000674199 chr2 11746632 11827409 + 233220 Yes
NT5C2 ENSG00000076685 ENST00000404739 chr10 103088038 103193272 - 232926 Yes
AKAP11 ENSG00000023516 ENST00000025301 chr13 42272152 42323261 + 232116 Yes
DNAJC1 ENSG00000136770 ENST00000376980 chr10 21756548 22003730 - 231902 Yes
PDE8A ENSG00000073417 ENST00000394553 chr15 84981856 85139142 + 231848 Yes
MAGEH1 ENSG00000187601 ENST00000342972 chrX 55452127 55453566 + 231781 Yes
IL13RA1 ENSG00000131724 ENST00000371666 chrX 118727606 118794533 + 231318 Yes
YWHAZ ENSG00000164924 ENST00000395958 chr8 100916523 100952020 - 230707 Yes
TCAF1 ENSG00000198420 ENST00000479870 chr7 143851375 143902176 - 230423 Yes
ELOVL6 ENSG00000170522 ENST00000302274 chr4 110045846 110198615 - 230336 Yes
FIG4 ENSG00000112367 ENST00000230124 chr6 109691296 109825426 + 229977 Yes
GCLC ENSG00000001084 ENST00000650454 chr6 53497341 53545101 - 229943 Yes
SLC19A1 ENSG00000173638 ENST00000311124 chr21 45512565 45542440 - 229644 Yes
LPIN2 ENSG00000101577 ENST00000677752 chr18 2916999 3013144 - 229570 Yes
HSD17B7 ENSG00000132196 ENST00000254521 chr1 162790702 162812823 + 228980 Yes
C4orf33 ENSG00000151470 ENST00000425929 chr4 129096152 129116637 + 228396 Yes
RABGAP1L ENSG00000152061 ENST00000681986 chr1 174159520 174995308 + 228326 Yes
CTSL ENSG00000135047 ENST00000343150 chr9 87726119 87731469 + 226823 Yes
SUDS3 ENSG00000111707 ENST00000543473 chr12 118376555 118418033 + 226754 Yes
ZNF175 ENSG00000105497 ENST00000262259 chr19 51571283 51592510 + 226114 Yes
SLC35G1 ENSG00000176273 ENST00000427197 chr10 93893978 93903824 + 226090 Yes
ZNF100 ENSG00000197020 ENST00000358296 chr19 21722771 21767579 - 226089 Yes
RIOK2 ENSG00000058729 ENST00000283109 chr5 97160867 97183247 - 225473 Yes
PPP4R3A ENSG00000100796 ENST00000554943 chr14 91457508 91510310 - 224976 Yes
SLC36A1 ENSG00000123643 ENST00000243389 chr5 151447603 151492379 + 224896 Yes
SLC6A6 ENSG00000131389 ENST00000622186 chr3 14402606 14489349 + 223759 Yes
PPA2 ENSG00000138777 ENST00000341695 chr4 105369077 105474062 - 223202 Yes
CD44 ENSG00000026508 ENST00000428726 chr11 35139171 35232402 + 223053 Yes
OSBPL9 ENSG00000117859 ENST00000428468 chr1 51617092 51789219 + 222916 Yes
BTRC ENSG00000166167 ENST00000370187 chr10 101354165 101557313 + 222733 Yes
NANP ENSG00000170191 ENST00000304788 chr20 25612935 25624014 - 221927 Yes
STK38L ENSG00000211455 ENST00000389032 chr12 27244286 27325959 + 221422 Yes
PDIA6 ENSG00000143870 ENST00000272227 chr2 10783391 10812785 - 221044 Yes
ENOX2 ENSG00000165675 ENST00000394363 chrX 130622325 130903209 - 220338 Yes
NARS2 ENSG00000137513 ENST00000281038 chr11 78435968 78574864 - 220327 Yes
PLEKHF2 ENSG00000175895 ENST00000315367 chr8 95133785 95156685 + 220109 Yes
EXO1 ENSG00000174371 ENST00000366548 chr1 241848204 241889939 + 219116 Yes
TAF9B ENSG00000187325 ENST00000341864 chrX 78129748 78139650 - 219009 Yes
ESD ENSG00000139684 ENST00000378720 chr13 46771256 46797161 - 218088 Yes
FNIP1 ENSG00000217128 ENST00000510461 chr5 131641714 131797017 - 217793 Yes
MAN1A1 ENSG00000111885 ENST00000368468 chr6 119177205 119349761 - 217442 Yes
RMND5A ENSG00000153561 ENST00000283632 chr2 86720291 86778041 + 216861 Yes
DCBLD2 ENSG00000057019 ENST00000326840 chr3 98795941 98901695 - 216495 Yes
IFRD1 ENSG00000006652 ENST00000403825 chr7 112450460 112477203 + 216192 Yes
PUM2 ENSG00000055917 ENST00000361078 chr2 20248737 20350844 - 216041 Yes
RIOX1 ENSG00000170468 ENST00000304061 chr14 73490933 73493394 + 215826 Yes
LCLAT1 ENSG00000172954 ENST00000379509 chr2 30447246 30644225 + 215692 Yes
ELOVL5 ENSG00000012660 ENST00000304434 chr6 53267404 53348950 - 215407 Yes
TIMM22 ENSG00000177370 ENST00000327158 chr17 997129 1003671 + 214776 Yes
VAMP4 ENSG00000117533 ENST00000236192 chr1 171700160 171742065 - 214630 Yes
HMGB3 ENSG00000029993 ENST00000325307 chrX 150983335 150990771 + 214173 Yes
TAX1BP1 ENSG00000106052 ENST00000396319 chr7 27740162 27829767 + 213889 Yes
TRIM68 ENSG00000167333 ENST00000300747 chr11 4598672 4608231 - 213775 Yes
PIP4K2A ENSG00000150867 ENST00000376573 chr10 22534854 22714578 - 213755 Yes
GABRA3 ENSG00000011677 ENST00000370314 chrX 152166234 152451315 - 213110 Yes
IRF2BP2 ENSG00000168264 ENST00000366609 chr1 234604269 234610178 - 212956 Yes
TMLHE ENSG00000185973 ENST00000334398 chrX 155489011 155612952 - 212800 Yes
RAP2A ENSG00000125249 ENST00000245304 chr13 97434169 97469128 + 212735 Yes
DDX20 ENSG00000064703 ENST00000369702 chr1 111755901 111768000 + 212614 Yes
MGST2 ENSG00000085871 ENST00000265498 chr4 139665819 139704243 + 212536 Yes
ASAP1 ENSG00000153317 ENST00000518721 chr8 130052104 130443674 - 212511 Yes
NRDC ENSG00000078618 ENST00000352171 chr1 51789210 51878727 - 212012 Yes
ZRANB2 ENSG00000132485 ENST00000370920 chr1 71063291 71081035 - 210938 Yes
SEL1L ENSG00000071537 ENST00000336735 chr14 81471547 81533853 - 210895 Yes
C9orf72 ENSG00000147894 ENST00000380003 chr9 27546546 27573481 - 210431 Yes
TAF4B ENSG00000141384 ENST00000269142 chr18 26226445 26391685 + 210192 Yes
EVI5 ENSG00000067208 ENST00000684568 chr1 92508696 92785108 - 209637 Yes
WWC2 ENSG00000151718 ENST00000403733 chr4 183099257 183320777 + 209197 Yes
BMS1 ENSG00000165733 ENST00000374518 chr10 42782795 42834937 + 208610 Yes
LIN28B ENSG00000187772 ENST00000345080 chr6 104957107 105083332 + 208522 Yes
ERICH1 ENSG00000104714 ENST00000262109 chr8 664200 731224 - 208318 Yes
PGRMC2 ENSG00000164040 ENST00000296425 chr4 128269242 128287813 - 207951 Yes
MOSMO ENSG00000284487 ENST00000639463 chrCHR_HG926_PATCH 22200470 22273045 - 207849 Yes
FAHD2B ENSG00000144199 ENST00000414820 chr2 97083583 97094882 - 207701 Yes
BOD1L1 ENSG00000038219 ENST00000040738 chr4 13568738 13627725 - 207384 Yes
SMIM13 ENSG00000224531 ENST00000416247 chr6 11093834 11138733 + 207003 Yes
SINHCAF ENSG00000139146 ENST00000337682 chr12 31280584 31326150 - 206724 Yes
ACAP2 ENSG00000114331 ENST00000326793 chr3 195274745 195443020 - 206461 Yes
GNS ENSG00000135677 ENST00000258145 chr12 64713449 64759406 - 206444 Yes
AP4E1 ENSG00000081014 ENST00000261842 chr15 50908683 51005895 + 206406 Yes
VAPA ENSG00000101558 ENST00000400000 chr18 9914016 9960021 + 205741 Yes
RAC2 ENSG00000128340 ENST00000249071 chr22 37225270 37244269 - 205635 Yes
EBAG9 ENSG00000147654 ENST00000337573 chr8 109540173 109565996 + 205387 Yes
SGO2 ENSG00000163535 ENST00000357799 chr2 200526207 200584096 + 204127 Yes
KIF5B ENSG00000170759 ENST00000302418 chr10 32009015 32056425 - 203617 Yes
RNF141 ENSG00000110315 ENST00000265981 chr11 10511673 10541187 - 203360 Yes
SPTBN1 ENSG00000115306 ENST00000356805 chr2 54456327 54671446 + 203139 Yes
GDA ENSG00000119125 ENST00000358399 chr9 72149440 72252224 + 203085 Yes
WRN ENSG00000165392 ENST00000298139 chr8 31033810 31176138 + 202244 Yes
DMXL1 ENSG00000172869 ENST00000539542 chr5 119071087 119249127 + 201698 Yes
SPRY4 ENSG00000187678 ENST00000434127 chr5 142310430 142325021 - 201648 Yes
CTNNBL1 ENSG00000132792 ENST00000361383 chr20 37694030 37872118 + 201483 Yes
FAM98B ENSG00000171262 ENST00000397609 chr15 38454127 38487710 + 201291 Yes
PPP1R14C ENSG00000198729 ENST00000361131 chr6 150143044 150250392 + 201030 Yes
CLEC16A ENSG00000038532 ENST00000409790 chr16 10944564 11182186 + 200753 Yes
THRB ENSG00000151090 ENST00000646209 chr3 24117153 24494850 - 200562 Yes
PELI1 ENSG00000197329 ENST00000358912 chr2 64092652 64144420 - 200506 Yes
DPH1 ENSG00000108963 ENST00000263083 chr17 2030153 2043898 + 200435 Yes
SNRNP48 ENSG00000168566 ENST00000342415 chr6 7590198 7611967 + 200405 Yes
NF1 ENSG00000196712 ENST00000358273 chr17 31094977 31377675 + 197591 Yes
SUGT1 ENSG00000165416 ENST00000310528 chr13 52652836 52700909 + 197280 Yes
BFAR ENSG00000103429 ENST00000261658 chr16 14632951 14669236 + 197231 Yes
BFAR ENSG00000275618 ENST00000619034 chrCHR_HSCHR16_1_CTG1 14632814 14669237 + 197113 Yes
INIP ENSG00000148153 ENST00000374242 chr9 112683926 112718117 - 197099 Yes
